epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3583,3.0175,3.73761,4.24973,0.00381,1,0.00537,0.00169,2.61993,3.58787,4.1648,0.00330864,0.00330864,0.00330864
2,73.1821,3.05413,3.71563,4.23492,0.00785,0.12338,0.00649,0.00154,2.83243,6.02945,4.82166,0.0066091,0.0066091,0.0066091
3,108.757,2.97939,3.64171,4.11456,0.06512,0.36631,0.04315,0.01035,2.20527,35.2259,6.97389,0.00987655,0.00987655,0.00987655
4,144.54,2.74257,3.37437,3.51013,0.11251,0.41835,0.115,0.02919,2.30361,5.19667,3.46344,0.0098515,0.0098515,0.0098515
5,180.207,2.26202,3.00801,2.93992,0.00748,0.02614,0.00384,0.00053,nan,nan,nan,0.009802,0.009802,0.009802
6,215.51,1.78924,2.40293,2.4389,0.24703,0.86209,0.27152,0.14219,1.2644,2.40339,2.29445,0.0097525,0.0097525,0.0097525
7,251.12,1.45598,1.98572,2.10165,0.20981,0.59439,0.2523,0.10582,1.5517,2.49287,2.69459,0.009703,0.009703,0.009703
8,286.794,1.24636,1.73977,1.89104,0.17388,0.49832,0.18331,0.0983,1.28756,2.25605,2.41362,0.0096535,0.0096535,0.0096535
9,322.451,1.11955,1.59496,1.74824,0.31885,0.67953,0.35332,0.21483,1.16658,1.94503,2.17526,0.009604,0.009604,0.009604
10,357.655,1.02115,1.51228,1.64928,0.25868,0.89622,0.34252,0.22151,1.09334,1.77022,2.27279,0.0095545,0.0095545,0.0095545
11,393.083,0.96605,1.45481,1.59748,0.29996,0.92502,0.39837,0.25128,1.20915,1.66352,2.48292,0.009505,0.009505,0.009505
12,428.442,0.90261,1.40124,1.53495,0.28521,0.84857,0.37443,0.27014,0.97214,1.62853,1.98901,0.0094555,0.0094555,0.0094555
13,463.644,0.86496,1.35825,1.4909,0.32425,0.93719,0.37528,0.27042,1.11833,1.50893,2.54997,0.009406,0.009406,0.009406
14,498.98,0.81887,1.33434,1.44961,0.35611,0.86222,0.40649,0.2982,1.03087,1.49927,2.34456,0.0093565,0.0093565,0.0093565
15,534.379,0.80647,1.31725,1.43465,0.32581,0.96611,0.45973,0.35499,0.94083,1.33605,2.07218,0.009307,0.009307,0.009307
16,569.83,0.76371,1.27345,1.39809,0.33872,0.8444,0.39776,0.28467,1.10485,1.45066,2.49332,0.0092575,0.0092575,0.0092575
17,605.184,0.74438,1.25863,1.37418,0.37879,0.8692,0.44945,0.33064,1.08069,1.32384,2.50335,0.009208,0.009208,0.009208
18,640.557,0.72268,1.22981,1.34618,0.36384,0.91646,0.51792,0.38739,0.97394,1.34326,2.41779,0.0091585,0.0091585,0.0091585
19,675.86,0.71396,1.21575,1.34255,0.47482,0.82996,0.58353,0.46045,0.81118,1.18677,1.89449,0.009109,0.009109,0.009109
20,711.121,0.68961,1.19347,1.32271,0.43692,0.81173,0.54336,0.41134,0.93285,1.35088,1.99733,0.0090595,0.0090595,0.0090595
21,746.52,0.6818,1.16919,1.30474,0.14318,0.61704,0.2417,0.15011,1.27541,2.18072,2.83508,0.00901,0.00901,0.00901
22,781.589,0.67795,1.13682,1.29309,0.4024,0.85418,0.58529,0.47176,0.79643,1.35405,1.82109,0.0089605,0.0089605,0.0089605
23,816.742,0.66309,1.11421,1.27736,0.51316,0.84013,0.64898,0.54331,0.60615,0.97985,1.43548,0.008911,0.008911,0.008911
24,851.914,0.65155,1.09213,1.2683,0.48302,0.84813,0.62629,0.48884,0.79527,1.08283,1.73745,0.0088615,0.0088615,0.0088615
25,887.26,0.64305,1.08473,1.26742,0.50517,0.82852,0.6247,0.47904,0.8176,1.06611,1.91044,0.008812,0.008812,0.008812
26,922.454,0.62864,1.07009,1.25516,0.5235,0.79535,0.63475,0.4941,0.92746,1.08813,2.21539,0.0087625,0.0087625,0.0087625
27,957.781,0.61983,1.04793,1.23968,0.33982,0.87148,0.47466,0.31934,1.21543,1.54414,2.87378,0.008713,0.008713,0.008713
28,992.974,0.62652,1.0358,1.24298,0.57969,0.87115,0.72262,0.62309,0.55702,0.86916,1.34794,0.0086635,0.0086635,0.0086635
29,1028.19,0.60688,1.00764,1.23212,0.44825,0.81608,0.61014,0.47564,0.89754,1.30301,2.1144,0.008614,0.008614,0.008614
30,1063.34,0.62396,0.98945,1.24357,0.45151,0.8428,0.59767,0.43316,1.04291,1.31461,2.52953,0.0085645,0.0085645,0.0085645
31,1098.71,0.6152,1.00118,1.2331,0.42109,0.86686,0.68457,0.53575,0.88833,1.29229,2.12856,0.008515,0.008515,0.008515
32,1133.91,0.61132,0.98492,1.23132,0.648,0.84768,0.77627,0.65074,0.5814,0.96976,1.36644,0.0084655,0.0084655,0.0084655
33,1169.19,0.59224,0.95464,1.21356,0.692,0.83278,0.81959,0.70374,0.56883,0.75664,1.40512,0.008416,0.008416,0.008416
34,1204.45,0.59328,0.94168,1.21445,0.65898,0.86341,0.80458,0.67692,0.6203,0.87259,1.45785,0.0083665,0.0083665,0.0083665
35,1239.75,0.59639,0.92904,1.22268,0.67537,0.81125,0.79629,0.66406,0.63846,0.82176,1.44081,0.008317,0.008317,0.008317
36,1274.97,0.58535,0.91379,1.21234,0.63276,0.8388,0.74924,0.58793,0.7953,1.11553,1.81867,0.0082675,0.0082675,0.0082675
37,1310.13,0.58252,0.89771,1.20867,0.53294,0.77592,0.71939,0.57944,0.80087,1.18921,1.8935,0.008218,0.008218,0.008218
38,1345.36,0.58488,0.88407,1.20843,0.78699,0.788,0.88019,0.75731,0.56473,0.75747,1.3731,0.0081685,0.0081685,0.0081685
39,1380.43,0.57806,0.85538,1.20518,0.80355,0.87247,0.89892,0.76516,0.62902,0.70685,1.48839,0.008119,0.008119,0.008119
40,1415.55,0.57915,0.85874,1.20343,0.7908,0.86802,0.91612,0.80015,0.56111,0.67022,1.33098,0.0080695,0.0080695,0.0080695
41,1450.8,0.56511,0.81028,1.19102,0.77645,0.8786,0.91755,0.79528,0.55163,0.69001,1.30906,0.00802,0.00802,0.00802
42,1486.04,0.57133,0.81091,1.20074,0.83739,0.87563,0.92698,0.79909,0.58813,0.61674,1.39167,0.0079705,0.0079705,0.0079705
